#wab resource
#Name;Alias;Description;Host;Local domains;Services
alex_client;;;198.168.5.1;;VNC/VNC/5900/VNC//VNC,TELNET_clinet/TELNET/23/TELNET//TELNET,RDP/RDP/3389/RDP//RDP|RDP_CLIPBOARD_UP|RDP_CLIPBOARD_DOWN|RDP_PRINTER|RDP_COM_PORT|RDP_DRIVE|RDP_SMARTCARD|RDP_CLIPBOARD_FILE|RDP_AUDIO_OUTPUT|RDP_AUDIO_INPUT,SSH/SSH/22/SSH//SSH_SHELL_SESSION|SSH_REMOTE_COMMAND|SSH_SCP_UP|SSH_SCP_DOWN|SFTP_SESSION
DUPLICATE;;;192.168.2.1;;RDP/RDP/3389/RDP//RDP|RDP_CLIPBOARD_UP|RDP_CLIPBOARD_DOWN|RDP_PRINTER|RDP_COM_PORT|RDP_DRIVE|RDP_SMARTCARD|RDP_CLIPBOARD_FILE|RDP_AUDIO_OUTPUT|RDP_AUDIO_INPUT
mix_protocol_server;;;192.168.3.1;;VNC/VNC/5900/VNC//VNC,RLOGIN/RLOGIN/513/RLOGIN//RLOGIN,RDP_no_1/RDP/3389/RDP//RDP|RDP_CLIPBOARD_UP|RDP_CLIPBOARD_DOWN|RDP_PRINTER|RDP_COM_PORT|RDP_DRIVE|RDP_SMARTCARD|RDP_CLIPBOARD_FILE|RDP_AUDIO_OUTPUT|RDP_AUDIO_INPUT,RDP_no_2/RDP/339/RDP_old_policy//RDP|RDP_CLIPBOARD_UP|RDP_CLIPBOARD_DOWN|RDP_PRINTER|RDP_COM_PORT|RDP_DRIVE|RDP_SMARTCARD|RDP_CLIPBOARD_FILE|RDP_AUDIO_OUTPUT|RDP_AUDIO_INPUT,SSH/SSH/22/SSH//SSH_SHELL_SESSION|SSH_REMOTE_COMMAND|SSH_SCP_UP|SSH_SCP_DOWN|SFTP_SESSION
only_one_target;;;10.10.10.10;;SSH/SSH/22/SSH//SSH_SHELL_SESSION|SSH_REMOTE_COMMAND|SSH_SCP_UP|SSH_SCP_DOWN|SFTP_SESSION
rdp_server_full;;;192.168.2.1;local;RDP/RDP/3389/RDP//RDP|RDP_CLIPBOARD_UP|RDP_CLIPBOARD_DOWN|RDP_PRINTER|RDP_COM_PORT|RDP_DRIVE|RDP_SMARTCARD|RDP_CLIPBOARD_FILE|RDP_AUDIO_OUTPUT|RDP_AUDIO_INPUT
rdp_server_no_drive;text_for_alias;text_for_descereption;192.168.2.2;;RDP/RDP/3390/RDP_old_policy//RDP|RDP_CLIPBOARD_UP|RDP_CLIPBOARD_DOWN|RDP_PRINTER|RDP_COM_PORT|RDP_SMARTCARD|RDP_CLIPBOARD_FILE|RDP_AUDIO_OUTPUT|RDP_AUDIO_INPUT
server_in_targetgroup_but_no_acl;;;172.17.1.3;;RLOGIN/RLOGIN/513/RLOGIN//RLOGIN
server_no_targetgroup;;;172.17.1.1;;VNC/VNC/5900/vnc_new_policy//VNC
sever_no_acl;;;172.17.1.2;;TELNET/TELNET/23/TELNET//TELNET
ssh_server;;;192.168.4.1;local;SSH/SSH/22/SSH//SSH_SHELL_SESSION|SSH_REMOTE_COMMAND|SSH_SCP_UP|SSH_SCP_DOWN|SFTP_SESSION
vcn_server_double_port;;;192.168.1.3;;VNC_seceond/VNC/5901/VNC//VNC
vnc_server;;;198.168.1.1;;VNC/VNC/5900/VNC//VNC
vnc_server_new;;;192.168.1.2;;VNC/VNC/5902/VNC//VNC,VNC_new/VNC/5900/vnc_new_policy//VNC
